carat	 color	 clarity	 depth	 table	 price	 x	 y	 z	 heavy	 cut_now
0.23	 E	 SI2	61.5	55	326	3.95	3.98	2.43	0	5
0.21	 E	 SI1	59.8	61	326	3.89	3.84	2.31	0	4
0.23	 E	 VS1	56.9	65	327	4.05	4.07	2.31	0	2
0.29	 I	 VS2	62.4	58	334	4.2	4.23	2.63	0	4
0.31	 J	 SI2	63.3	58	335	4.34	4.35	2.75	0	2
0.24	 J	 VVS2	62.8	57	336	3.94	3.96	2.48	0	3
0.24	 I	 VVS1	62.3	57	336	3.95	3.98	2.47	0	3
0.26	 H	 SI1	61.9	55	337	4.07	4.11	2.53	0	3
0.22	 E	 VS2	65.1	61	337	3.87	3.78	2.49	0	1
0.23	 H	 VS1	59.4	61	338	4	4.05	2.39	0	3
0.3	 J	 SI1	64	55	339	4.25	4.28	2.73	0	2
0.23	 J	 VS1	62.8	56	340	3.93	3.9	2.46	0	5
0.22	 F	 SI1	60.4	61	342	3.88	3.84	2.33	0	4
0.31	 J	 SI2	62.2	54	344	4.35	4.37	2.71	0	5
0.2	 E	 SI2	60.2	62	345	3.79	3.75	2.27	0	4
0.32	 E	 I1	60.9	58	345	4.38	4.42	2.68	0	4
0.3	 I	 SI2	62	54	348	4.31	4.34	2.68	0	5
0.3	 J	 SI1	63.4	54	351	4.23	4.29	2.7	0	2
0.3	 J	 SI1	63.8	56	351	4.23	4.26	2.71	0	2
0.3	 J	 SI1	62.7	59	351	4.21	4.27	2.66	0	3
0.3	 I	 SI2	63.3	56	351	4.26	4.3	2.71	0	2
0.23	 E	 VS2	63.8	55	352	3.85	3.92	2.48	0	3
0.23	 H	 VS1	61	57	353	3.94	3.96	2.41	0	3
0.31	 J	 SI1	59.4	62	353	4.39	4.43	2.62	0	3
0.31	 J	 SI1	58.1	62	353	4.44	4.47	2.59	0	3
0.23	 G	 VVS2	60.4	58	354	3.97	4.01	2.41	0	3
0.24	 I	 VS1	62.5	57	355	3.97	3.94	2.47	0	4
0.3	 J	 VS2	62.2	57	357	4.28	4.3	2.67	0	3
0.23	 D	 VS2	60.5	61	357	3.96	3.97	2.4	0	3
0.23	 F	 VS1	60.9	57	357	3.96	3.99	2.42	0	3
0.23	 F	 VS1	60	57	402	4	4.03	2.41	0	3
0.23	 F	 VS1	59.8	57	402	4.04	4.06	2.42	0	3
0.23	 E	 VS1	60.7	59	402	3.97	4.01	2.42	0	3
0.23	 E	 VS1	59.5	58	402	4.01	4.06	2.4	0	3
0.23	 D	 VS1	61.9	58	402	3.92	3.96	2.44	0	3
0.23	 F	 VS1	58.2	59	402	4.06	4.08	2.37	0	2
0.23	 E	 VS1	64.1	59	402	3.83	3.85	2.46	0	2
0.31	 H	 SI1	64	54	402	4.29	4.31	2.75	0	2
0.26	 D	 VS2	60.8	59	403	4.13	4.16	2.52	0	3
0.33	 I	 SI2	61.8	55	403	4.49	4.51	2.78	0	5
0.33	 I	 SI2	61.2	56	403	4.49	4.5	2.75	0	5
0.33	 J	 SI1	61.1	56	403	4.49	4.55	2.76	0	5
0.26	 D	 VS2	65.2	56	403	3.99	4.02	2.61	0	2
0.26	 D	 VS1	58.4	63	403	4.19	4.24	2.46	0	2
0.32	 H	 SI2	63.1	56	403	4.34	4.37	2.75	0	2
0.29	 F	 SI1	62.4	58	403	4.24	4.26	2.65	0	4
0.32	 H	 SI2	61.8	55	403	4.35	4.42	2.71	0	3
0.32	 H	 SI2	63.8	56	403	4.36	4.38	2.79	0	2
0.25	 E	 VS2	63.3	60	404	4	4.03	2.54	0	3
0.29	 H	 SI2	60.7	60	404	4.33	4.37	2.64	0	3
0.24	 F	 SI1	60.9	61	404	4.02	4.03	2.45	0	3
0.23	 G	 VS1	61.9	54	404	3.93	3.95	2.44	0	5
0.32	 I	 SI1	60.9	55	404	4.45	4.48	2.72	0	5
0.22	 E	 VS2	61.6	58	404	3.93	3.89	2.41	0	4
0.22	 D	 VS2	59.3	62	404	3.91	3.88	2.31	0	4
0.3	 I	 SI2	61	59	405	4.3	4.33	2.63	0	5
0.3	 J	 SI2	59.3	61	405	4.43	4.38	2.61	0	4
0.3	 I	 SI1	62.6	57	405	4.25	4.28	2.67	0	3
0.3	 I	 SI1	63	57	405	4.28	4.32	2.71	0	3
0.3	 I	 SI1	63.2	55	405	4.25	4.29	2.7	0	2
0.35	 I	 VS1	60.9	57	552	4.54	4.59	2.78	0	5
0.3	 D	 SI1	62.6	59	552	4.23	4.27	2.66	0	4
0.3	 D	 SI1	62.5	57	552	4.29	4.32	2.69	0	5
0.3	 D	 SI1	62.1	56	552	4.3	4.33	2.68	0	5
0.42	 I	 SI2	61.5	59	552	4.78	4.84	2.96	0	4
0.28	 G	 VVS2	61.4	56	553	4.19	4.22	2.58	0	5
0.32	 I	 VVS1	62	55.3	553	4.39	4.42	2.73	0	5
0.31	 G	 SI1	63.3	57	553	4.33	4.3	2.73	0	3
0.31	 G	 SI1	61.8	58	553	4.35	4.32	2.68	0	4
0.24	 E	 VVS1	60.7	58	553	4.01	4.03	2.44	0	4
0.24	 D	 VVS1	61.5	60	553	3.97	4	2.45	0	3
0.3	 H	 SI1	63.1	56	554	4.29	4.27	2.7	0	3
0.3	 H	 SI1	62.9	59	554	4.28	4.24	2.68	0	4
0.3	 H	 SI1	62.5	57	554	4.29	4.25	2.67	0	4
0.3	 H	 SI1	63.7	57	554	4.28	4.26	2.72	0	2
0.26	 F	 VVS2	59.2	60	554	4.19	4.22	2.49	0	3
0.26	 E	 VVS2	59.9	58	554	4.15	4.23	2.51	0	3
0.26	 D	 VVS2	62.4	54	554	4.08	4.13	2.56	0	3
0.26	 D	 VVS2	62.8	60	554	4.01	4.05	2.53	0	3
0.26	 E	 VVS1	62.6	59	554	4.06	4.09	2.55	0	3
0.26	 E	 VVS1	63.4	59	554	4	4.04	2.55	0	3
0.26	 D	 VVS1	62.1	60	554	4.03	4.12	2.53	0	3
0.26	 E	 VVS2	62.9	58	554	4.02	4.06	2.54	0	5
0.38	 I	 SI2	61.6	56	554	4.65	4.67	2.87	0	5
0.26	 E	 VVS1	57.9	60	554	4.22	4.25	2.45	0	2
0.24	 G	 VVS1	62.3	59	554	3.95	3.92	2.45	0	4
0.24	 H	 VVS1	61.2	58	554	4.01	3.96	2.44	0	4
0.24	 H	 VVS1	60.8	59	554	4.02	4	2.44	0	4
0.24	 H	 VVS2	60.7	58	554	4.07	4.04	2.46	0	4
0.32	 I	 SI1	62.9	58	554	4.35	4.33	2.73	0	4
0.7	 E	 SI1	62.5	57	2757	5.7	5.72	3.57	0	5
0.86	 E	 SI2	55.1	69	2757	6.45	6.33	3.52	1	1
0.7	 G	 VS2	61.6	56	2757	5.7	5.67	3.5	0	5
0.71	 E	 VS2	62.4	57	2759	5.68	5.73	3.56	0	3
0.78	 G	 SI2	63.8	56	2759	5.81	5.85	3.72	0	3
0.7	 E	 VS2	57.5	58	2759	5.85	5.9	3.38	0	2
0.7	 F	 VS1	59.4	62	2759	5.71	5.76	3.4	0	2
